price,rating,reviews,ram,hard,price_per_gb,price_per_ram
18599,3,61,8,256,72.65234375,2324.875
18599,3,61,8,256,72.65234375,2324.875
4500,3,86,4,64,70.3125,1125.0
5777,4,23765,4,128,45.1328125,1444.25
5199,3,17,6,128,40.6171875,866.5
18599,3,61,8,256,72.65234375,2324.875
5299,4,188,4,128,41.3984375,1324.75
5899,4,188,6,128,46.0859375,983.1666666666666
6944,4,459,6,128,54.25,1157.3333333333333
4800,3,31,4,128,37.5,1200.0
5200,4,124,12,12,433.3333333333333,433.3333333333333
18599,3,61,8,256,72.65234375,2324.875
9122,3,18,6,128,71.265625,1520.3333333333333
9122,3,8,6,128,71.265625,1520.3333333333333
4800,4,13,4,128,37.5,1200.0
22999,3,193,8,256,89.83984375,2874.875
12850,3,33,8,256,50.1953125,1606.25
4500,3,86,4,64,70.3125,1125.0
5899,4,188,6,128,46.0859375,983.1666666666666
6377,4,459,4,128,49.8203125,1594.25
5999,3,17,6,128,46.8671875,999.8333333333334
40999,4,797,12,12,3416.5833333333335,3416.5833333333335
24999,3,193,8,256,97.65234375,3124.875
22999,3,193,8,256,89.83984375,2874.875
4500,3,86,4,64,70.3125,1125.0
5399,4,36,4,64,84.359375,1349.75
1800,0,0,1,32,56.25,1800.0
5699,3,17,6,128,44.5234375,949.8333333333334
4899,4,23,4,128,38.2734375,1224.75
4800,4,4,4,128,37.5,1200.0
13499,4,18,8,128,105.4609375,1687.375
17750,4,48,8,128,138.671875,2218.75
6400,0,0,6,128,50.0,1066.6666666666667
2899,3,36,2,32,90.59375,1449.5
12189,4,173,8,128,95.2265625,1523.625
12550,3,33,8,256,49.0234375,1568.75
3899,4,51,3,32,121.84375,1299.6666666666667
9122,2,4,6,128,71.265625,1520.3333333333333
9122,2,4,6,128,71.265625,1520.3333333333333
3499,0,0,2,32,109.34375,1749.5
28500,3,193,8,256,111.328125,3562.5
43595,4,11,12,256,170.29296875,3632.9166666666665
6599,3,32,8,256,25.77734375,824.875
12969,2,6,8,256,50.66015625,1621.125
18599,3,61,8,256,72.65234375,2324.875
8599,4,24,8,128,67.1796875,1074.875
13999,3,36,8,256,54.68359375,1749.875
8999,4,34,8,128,70.3046875,1124.875
41950,4,717,12,256,163.8671875,3495.8333333333335
17300,3,19,12,12,1441.6666666666667,1441.6666666666667
5699,4,188,4,128,44.5234375,1424.75
17750,4,48,8,128,138.671875,2218.75
6244,4,188,6,128,48.78125,1040.6666666666667
7499,4,14,8,128,58.5859375,937.375
3999,3,41,3,64,62.484375,1333.0
17750,4,48,8,128,138.671875,2218.75
5850,4,106,4,64,91.40625,1462.5
43442,4,11,12,256,169.6953125,3620.1666666666665
5849,3,32,6,128,45.6953125,974.8333333333334
43595,4,11,12,256,170.29296875,3632.9166666666665
6449,3,170,4,128,50.3828125,1612.25
8999,4,33,6,128,70.3046875,1499.8333333333333
6590,3,32,8,256,25.7421875,823.75
4555,5,7,50,64,71.171875,91.1
8449,4,24,6,128,66.0078125,1408.1666666666667
5499,4,473,4,64,85.921875,1374.75
2911,0,0,2,32,90.96875,1455.5
16999,4,824,8,256,66.40234375,2124.875
43595,4,11,12,256,170.29296875,3632.9166666666665
12950,2,9,8,256,50.5859375,1618.75
12950,2,9,8,256,50.5859375,1618.75
4949,3,31,4,128,38.6640625,1237.25
9525,4,42,8,256,37.20703125,1190.625
9700,3,19,8,256,37.890625,1212.5
4299,2,9,3,64,67.171875,1433.0
6980,4,14,8,128,54.53125,872.5
7999,4,48,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
6980,4,14,8,128,54.53125,872.5
7999,4,48,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
6980,4,14,8,128,54.53125,872.5
7999,4,48,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
6980,4,14,8,128,54.53125,872.5
7999,4,47,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
5555,4,188,4,128,43.3984375,1388.75
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
6980,4,14,8,128,54.53125,872.5
7999,4,47,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
5555,4,188,4,128,43.3984375,1388.75
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
6980,4,14,8,128,54.53125,872.5
7999,4,47,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
5555,4,188,4,128,43.3984375,1388.75
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
6980,4,14,8,128,54.53125,872.5
7999,4,47,8,128,62.4921875,999.875
5130,4,92,4,64,80.15625,1282.5
5349,3,32,4,128,41.7890625,1337.25
5100,4,21,4,128,39.84375,1275.0
6244,4,188,6,128,48.78125,1040.6666666666667
25900,5,1,12,12,2158.3333333333335,2158.3333333333335
17750,4,48,8,128,138.671875,2218.75
7599,3,23,4,64,118.734375,1899.75
7625,0,0,8,256,29.78515625,953.125
4999,2,9,3,128,39.0546875,1666.3333333333333
5799,3,32,6,128,45.3046875,966.5
7624,4,44,8,256,29.78125,953.0
4950,3,40,3,64,77.34375,1650.0
8460,3,21,8,256,33.046875,1057.5
4799,2,9,3,128,37.4921875,1599.6666666666667
8799,4,24,8,128,68.7421875,1099.875
8449,4,24,6,128,66.0078125,1408.1666666666667
4999,4,45,3,32,156.21875,1666.3333333333333
5555,4,188,4,128,43.3984375,1388.75
4888,3,9,3,64,76.375,1629.3333333333333
5849,3,32,6,128,45.6953125,974.8333333333334
6500,4,32,64,64,101.5625,101.5625
