price,rating,reviews,ram,hard
18599,3,61,8,256
18599,3,61,8,256
4500,3,86,4,64
5777,4,23765,4,128
5199,3,17,6,128
18599,3,61,8,256
5299,4,188,4,128
5899,4,188,6,128
6944,4,459,6,128
4800,3,31,4,128
5200,4,124,12,12
18599,3,61,8,256
9122,3,18,6,128
9122,3,8,6,128
65000,4,30,12,512
4800,4,13,4,128
22999,3,193,8,256
12850,3,33,8,256
4500,3,86,4,64
5899,4,188,6,128
6377,4,459,4,128
5999,3,17,6,128
40999,4,797,12,12
24999,3,193,8,256
22999,3,193,8,256
4500,3,86,4,64
5399,4,36,4,64
1800,0,0,1,32
5699,3,17,6,128
4899,4,23,4,128
4800,4,4,4,128
13499,4,18,8,128
17750,4,48,8,128
6400,0,0,6,128
39750,4,14,8,256
2899,3,36,2,32
12189,4,173,8,128
12550,3,33,8,256
3899,4,51,3,32
9122,2,4,6,128
9122,2,4,6,128
3499,0,0,2,32
28500,3,193,8,256
47550,4,315,12,256
43595,4,11,12,256
6599,3,32,8,256
12969,2,6,8,256
18599,3,61,8,256
8599,4,24,8,128
13999,3,36,8,256
8999,4,34,8,128
41950,4,717,12,256
17300,3,19,12,12
5699,4,188,4,128
17750,4,48,8,128
6244,4,188,6,128
7499,4,14,8,128
3999,3,41,3,64
17750,4,48,8,128
5850,4,106,4,64
43442,4,11,12,256
5849,3,32,6,128
43595,4,11,12,256
6449,3,170,4,128
8999,4,33,6,128
63999,4,26,12,512
6590,3,32,8,256
4555,5,7,50,64
8449,4,24,6,128
5499,4,473,4,64
2911,0,0,2,32
16999,4,824,8,256
43595,4,11,12,256
12950,2,9,8,256
12950,2,9,8,256
4949,3,31,4,128
9525,4,42,8,256
9700,3,19,8,256
4299,2,9,3,64
33999,4,50,8,256
6980,4,14,8,128
7999,4,48,8,128
5130,4,92,4,64
5349,3,32,4,128
5100,4,21,4,128
6244,4,188,6,128
25900,5,1,12,12
17750,4,48,8,128
7599,3,23,4,64
24760,4,3863,4,128
7625,0,0,8,256
39750,4,14,8,256
4999,2,9,3,128
66666,3,7,12,256
5799,3,32,6,128
7624,4,44,8,256
4950,3,40,3,64
8460,3,21,8,256
4799,2,9,3,128
8799,4,24,8,128
8449,4,24,6,128
38798,4,14,8,256
39950,4,7,8,256
34700,4,66,8,256
4999,4,45,3,32
4888,3,9,3,64
5849,3,32,6,128
6500,4,32,64,64
6980,4,14,8,128
7999,4,48,8,128
5130,4,92,4,64
5349,3,32,4,128
5100,4,21,4,128
6244,4,188,6,128
25900,5,1,12,12
17750,4,48,8,128
7599,3,23,4,64
24760,4,3863,4,128
7625,0,0,8,256
39750,4,14,8,256
4999,2,9,3,128
66666,3,7,12,256
5799,3,32,6,128
7624,4,44,8,256
4950,3,40,3,64
8460,3,21,8,256
4799,2,9,3,128
8799,4,24,8,128
8449,4,24,6,128
38798,4,14,8,256
39950,4,7,8,256
34700,4,66,8,256
4999,4,45,3,32
